Table name: "2011"
Table description: "The families portion of the National Health Interview Survey (NHIS) for 2011. The information in this section includes but is not limited to basic demographic family information such as number of children and seniors, health issues amongst any family members, medical treatment and providers, income and employment, and financial assistance. Please note that some questions in the survey are conditional and depend on age, past health issues, etc. and only apply to certain groups or individuals . For further information regarding these survey questions' (column fields shown here) specificities and methodology please see the following URL : ftp://ftp.cdc.gov/pub/Health_Statistics/NCHS/Dataset_Documentation/NHIS/2011/familyxx_layout.pdf"
Table datapath: "us.gov.cdc.nhis.familyxx.2011"

-----

column_name,column_description,column_id
"Office Visit Count","The number of family members that saw a doctor or other health care professional at a doctor's office, a clinic, an emergency room, or some other place in the last two weeks. This does not include times during an overnight hospital stay.","fhcdvct"
"Frequent Care","Indicates if any family member received care from doctors or other health care professionals ten or more times in the last twelve months. This does not include phone consultations.","f10dvyn"
"Frequent Care Count","The number of family members that received care from doctors or other health care professionals ten or more times in the last twelve months.","f10dvct"
"Insurace","Indicates if any family members have insurance coverage.","fhicovyn"
"Insurance Count","The number of family members with health insurance coverage.","fhicovct"
"Private Insurance Count","Number of family members with private health insurance coverage.","fhiprvct"
"Single Service Count","Number of family members with single service plans.","fhisinct"
"Medicare Count","Number of family members with Medicare.","fhicarct"
"Medicaid Count","Number of family members with Medicaid.","fhicadct"
"SCHIP Count","Number of family members with SCHIP.","fhichpct"
"Military Insurance Count","Number of family members with military health insurance coverage.","fhimilct"
"IHS Count","Number of family members with Indian Health Service (IHS) coverage.","fhiihsct"
"State Health","Number of family members with other state-sponsored health plan.","fhipubct"
"Government Plan Count","Number of family members with an other government health plan.","fhiogvct"
"Others Covered","Indicates if there are other persons covered living outside of the household.","fprcooh"
"Employer Insurance Count","Number of family members with employer based health coverage.","fhiebcct"
"Coverage Confidence","Indicates how confident the interviewee is that the family would be able to obtain affordable coverage without help from an employer.","covconf"
"Health Care Cost","The cost of the family's medical/dental care in the past twelve months.","fhicost"
"Payment Issues","Indicates if the family has had problems paying or unable to pay any medical bills.","fmedbill"
"Payment Over Time","Indicates if the medical bills are being paid off over time.","fmedbpay"
"Unable To Pay","Indicates if the family is unable to pay medical bills.","fmedbnop"
"Flexible Spending Account","Indicates if the family has a flexible spending account.","fsaf"
"Head Start","Number of children in family currently or ever in head start.","fhdstct"
"Working","The number of family members working last week.","fdglwct1"
"Looking for Work","The number of family members looking for work last week.","fdglwct2"
"Full Time Job","The number family members working full time last week.","fwrklwct"
"Wages/Salary","Indicates if any family members received income from wages or salary in the last calendar year. Emancipated minors are not included in this result.","fsalyn"
"Wage/Salary Count","Number of family members receiving income from wage/salary.","fsalct"
"Self-Employment Income","Indicates if any family member receives income from self-employment.","fseincyn"
"Self-Employment Income Count","The number of family members receiving income from self-employment.","fseincct"
"SS/RR Income","Indicates if any family members receive Social Security or Railroad Retirement income.","fssrryn"
"SS/RR Income Count","The number of family members receiving Social Security or Railroad Retirement income.","fssrrct"
"Disability Pension","Indicates if any family members receive disability pensions.","fpensyn"
"Disability Pension Count","The number of family members that receive disability pensions.","fpensct"
"Other Pension","Indicates if any family members receive other survivor or retirement pensions.","fopensyn"
"Other Pension Count","The number of family members that receive other survivor or retirement pensions.","fopensct"
"SSI Income","Indicates if any family member receives Supplemental Security Income (SSI).","fssiyn"
"SSI Income Count","The number of family members that receive Supplemental Security Income (SSI).","fssict"
"State Welfare ","Indicates if any family member receives income from a state or county welfare program.","ftanfyn"
"State Welfare Count","# of family members receiving income from a state or county welfare program","ftanfct"
"Other Welfare","Indicates if any family member received an other kind of welfare assistance.","fowbenyn"
"Other Welfare Count","The number of family members receiving an other kind of welfare assistance.","fowbenct"
"Interest Income","Indicates if any family members receive income from interest bearing accounts, funds, etc.","fintr1yn"
"Interest Income Count","The number of family members receiving income from interest bearing accounts, funds, etc. .","fintr1ct"
"Dividends ","Indicates if any family members receive dividends from stocks.","fdivdyn"
"Dividends Count","The number of family members that receive dividends from stocks, etc.","fdivdct"
"Child Support","Indicates if any member of the family received child support income in the last calendar year.","fchspyn"
"Child Support Count","The number of family members that receive child support income.","fchspct"
"Other Income","Indicates if any family members receive income from any other source.","fincotyn"
"Other Income Count","The number of family members receiving income from any other source.","fincotct"
"Total Family Income (3)","Total combined family income. This variable is akin to an earlier version of the survey and differs from \"Total Family Income (1)\" only slightly in answer format.","incgrp2"
"Data Collection","Flag indicating difference in how family income data was collected.","fincflg"
"Total Family Income (2)","Total combined family income. This variable is akin to an earlier version of the survey and differs from \"Total Family Income (1)\" only slightly in answer format.","incgrp3"
"Income Ratio (1)","Ratio of family income to the poverty threshold. The \"Undefinable\" cases consist of families where the number of children under age 18 in the family is equivalent to the number of family members. Published 2011 poverty thresholds from the Census Bureau are used in these calculations. ","rat_cat2"
"Total Family Income (2)","Total combined family income. This variable is akin to an earlier version of the survey and differs from \"Total Family Income (1)\" only slightly in answer format.","rat_cat3"
"Home Tenure","The family's home tenure status.","houseown"
"Low Rent","Indicates if any family member is paying low rent due to a government program.","fgah"
"SSI Applied","Indicates if any family member ever applied for Supplemental Security Income (SSI) even if the claim was denied.","fssaplyn"
"SSI Applied Count","The number of family members that ever applied for Supplemental Security Income (SSI) even if the claim was denied.","fssaplct"
"SSDI Applied","Indicates if any family member ever applied for Social Security Disability Income (SSDI) even if the claim was denied.","fsdaplyn"
"SSDI Applied Count","The number of family members that ever applied for Social Security Disability Income (SSDI), even if the claim was denied.","fsdaplct"
"Food Stamp","Indicates if any family member received food stamp or SNAP benefits in the last calendar year.","fsnap"
"Food Stamp Months","The number of months the family received food stamps or SNAP benefits in the last calendar year.","fsnapmyr"
"WIC Benefits","Indicates if any family members receive benefits from the Women, Infants, and Children (WIC) program.","fwicyn"
"WIC Benefits Count","The number of family members that receive benefits from the Women, Infants, and Children (WIC) program.","fwicct"
"Serialid","Serialid","serialid"
