time,sex,age,geo,isced97,day,day_flag,mth,mth_flag,week,week_flag,lt1m,lt1m_flag,nvr_occ,nvr_occ_flag,nbinge,nbinge_flag,serialid
2008,Females,Total,Romania,All ISCED 1997 levels,0.0,,0.8,,0.5,,2.7,,85.5,,10.5,,40
2008,Females,Total,Slovenia,"Pre-primary, primary and lower secondary education (levels 0-2)",,,1.2,,0.5,,5.0,,79.1,,14.2,,41
2008,Females,Total,Slovenia,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,1.7,,0.7,,9.1,,70.3,,18.3,,42
2008,Females,Total,Slovenia,First and second stage of tertiary education (levels 5 and 6),,,3.3,,,,12.4,,53.8,,30.4,,43
2008,Females,Total,Slovenia,All ISCED 1997 levels,,,1.6,,0.5,,7.4,,73.1,,17.4,,44
2008,Females,Total,Slovakia,"Pre-primary, primary and lower secondary education (levels 0-2)",,,1.2,,0.5,,2.0,,90.4,,5.8,,45
2008,Females,Total,Slovakia,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,1.2,,0.2,,6.9,,76.5,,15.2,,46
2008,Females,Total,Slovakia,First and second stage of tertiary education (levels 5 and 6),,,0.7,,0.4,,8.3,,66.4,,24.2,,47
2008,Females,Total,Slovakia,All ISCED 1997 levels,,,1.1,,0.3,,6.2,,77.2,,15.2,,48
2008,Females,From 15 to 24 years,Belgium,"Pre-primary, primary and lower secondary education (levels 0-2)",,,6.6,Low reliability,32.3,Low reliability,9.5,Low reliability,51.5,Low reliability,,,49
2008,Females,From 15 to 24 years,Belgium,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,15.8,,2.5,,6.8,,67.5,,7.4,,50
2008,Females,From 15 to 24 years,Belgium,First and second stage of tertiary education (levels 5 and 6),,,16.0,,5.6,,17.3,,53.3,,7.9,,51
2008,Females,From 15 to 24 years,Belgium,All ISCED 1997 levels,,,14.5,,7.9,,10.7,,60.4,,6.5,,52
2008,Females,From 15 to 24 years,Bulgaria,"Pre-primary, primary and lower secondary education (levels 0-2)",,,,,0.8,,0.8,,94.2,,4.2,,53
2008,Females,From 15 to 24 years,Bulgaria,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,1.7,,,,2.5,,86.1,,9.8,,54
2008,Females,From 15 to 24 years,Bulgaria,All ISCED 1997 levels,,,1.2,,0.4,,1.6,,89.6,,7.3,,55
2008,Females,From 15 to 24 years,Cyprus,"Pre-primary, primary and lower secondary education (levels 0-2)",,,0.3,,,,,,89.6,,10.1,,56
2008,Females,From 15 to 24 years,Cyprus,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,0.4,Low reliability,,,7.1,Low reliability,70.1,Low reliability,22.4,Low reliability,57
2008,Females,From 15 to 24 years,Cyprus,First and second stage of tertiary education (levels 5 and 6),,,0.8,,,,11.4,,52.8,,35.1,,58
2008,Females,From 15 to 24 years,Cyprus,All ISCED 1997 levels,,,0.5,,,,5.2,,74.3,,20.1,,59
2008,Females,From 15 to 24 years,Czech Republic,"Pre-primary, primary and lower secondary education (levels 0-2)",,,2.4,,2.7,,22.0,,66.5,,6.3,,60
2008,Females,From 15 to 24 years,Czech Republic,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,14.5,,2.1,,19.0,,56.0,,8.4,,61
2008,Females,From 15 to 24 years,Czech Republic,All ISCED 1997 levels,,,9.8,,2.2,,21.9,,56.7,,9.4,,62
2008,Females,From 15 to 24 years,Greece,"Pre-primary, primary and lower secondary education (levels 0-2)",,,,,,,1.9,,83.3,,14.8,,63
2008,Females,From 15 to 24 years,Greece,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,3.4,,0.2,,9.7,,47.0,,39.8,,64
2008,Females,From 15 to 24 years,Greece,First and second stage of tertiary education (levels 5 and 6),,,5.3,Low reliability,0.6,Low reliability,5.5,Low reliability,48.7,Low reliability,39.9,Low reliability,65
2008,Females,From 15 to 24 years,Greece,All ISCED 1997 levels,,,2.7,,0.2,,6.6,,58.1,,32.4,,66
2008,Females,From 15 to 24 years,Spain,"Pre-primary, primary and lower secondary education (levels 0-2)",0.1,,1.6,,3.5,,4.8,,73.8,,16.2,,67
2008,Females,From 15 to 24 years,Spain,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.3,,3.2,,5.0,,10.5,,61.3,,19.8,,68
2008,Females,From 15 to 24 years,Spain,First and second stage of tertiary education (levels 5 and 6),,,1.6,,0.6,,8.7,,51.7,,37.3,,69
2008,Females,From 15 to 24 years,Spain,All ISCED 1997 levels,0.1,,2.2,,3.7,,7.4,,66.5,,20.1,,70
2008,Females,From 15 to 24 years,Hungary,"Pre-primary, primary and lower secondary education (levels 0-2)",,,3.6,,1.7,,3.0,,86.1,,5.6,,71
2008,Females,From 15 to 24 years,Hungary,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,4.8,,4.8,,6.8,,70.4,,13.1,,72
2008,Females,From 15 to 24 years,Hungary,First and second stage of tertiary education (levels 5 and 6),,,10.5,Low reliability,,,6.1,Low reliability,71.7,Low reliability,11.7,Low reliability,73
2008,Females,From 15 to 24 years,Hungary,All ISCED 1997 levels,,,4.7,,3.1,,5.1,,77.4,,9.7,,74
2008,Females,From 15 to 24 years,Latvia,"Pre-primary, primary and lower secondary education (levels 0-2)",,,3.3,,1.7,,3.0,,85.7,,6.2,,75
2008,Females,From 15 to 24 years,Latvia,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,1.4,,2.2,,8.2,,71.3,,16.9,,76
2008,Females,From 15 to 24 years,Latvia,First and second stage of tertiary education (levels 5 and 6),,,9.8,,,,9.2,,68.8,,12.3,,77
2008,Females,From 15 to 24 years,Latvia,All ISCED 1997 levels,,,3.4,,1.7,,6.0,,77.4,,11.5,,78
2008,Females,From 15 to 24 years,Malta,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,9.3,,6.9,,18.5,,50.5,,14.8,,79
2008,Females,From 15 to 24 years,Malta,First and second stage of tertiary education (levels 5 and 6),,,5.5,,5.5,,18.2,,47.3,,23.6,,80
2008,Females,From 15 to 24 years,Malta,All ISCED 1997 levels,,,8.4,,6.3,,17.5,,51.2,,16.5,,81
2008,Females,From 15 to 24 years,Romania,"Pre-primary, primary and lower secondary education (levels 0-2)",,,0.6,,0.2,,1.3,,95.9,,2.0,,82
2008,Females,From 15 to 24 years,Romania,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,0.6,,0.2,,2.0,,91.9,,5.4,,83
2008,Females,From 15 to 24 years,Romania,First and second stage of tertiary education (levels 5 and 6),,,,,5.5,Low reliability,,,85.8,Low reliability,8.7,Low reliability,84
2008,Females,From 15 to 24 years,Romania,All ISCED 1997 levels,,,0.6,,0.4,,1.6,,93.6,,3.9,,85
2008,Females,From 15 to 24 years,Slovenia,"Pre-primary, primary and lower secondary education (levels 0-2)",,,3.7,,2.5,,12.2,,70.2,,11.5,,86
2008,Females,From 15 to 24 years,Slovenia,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,4.3,,3.9,,14.7,,64.8,,12.3,,87
2008,Females,From 15 to 24 years,Slovenia,All ISCED 1997 levels,,,4.8,,3.1,,13.1,,66.3,,12.7,,88
2008,Females,From 15 to 24 years,Slovakia,"Pre-primary, primary and lower secondary education (levels 0-2)",,,1.7,,0.6,,3.6,,86.8,,7.4,,89
2008,Females,From 15 to 24 years,Slovakia,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,1.3,,0.4,,9.5,,72.9,,15.8,,90
2008,Females,From 15 to 24 years,Slovakia,First and second stage of tertiary education (levels 5 and 6),,,1.9,,,,8.7,,69.4,,20.1,,91
2008,Females,From 15 to 24 years,Slovakia,All ISCED 1997 levels,,,1.5,,0.4,,7.2,,77.7,,13.2,,92
2008,Females,From 25 to 34 years,Belgium,"Pre-primary, primary and lower secondary education (levels 0-2)",,,,,0.4,Low reliability,3.2,Low reliability,90.3,Low reliability,6.2,Low reliability,93
2008,Females,From 25 to 34 years,Belgium,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,3.5,,1.2,,17.6,,59.0,,18.8,,94
2008,Females,From 25 to 34 years,Belgium,First and second stage of tertiary education (levels 5 and 6),0.2,,9.6,,2.2,,19.1,,41.9,,27.0,,95
2008,Females,From 25 to 34 years,Belgium,All ISCED 1997 levels,0.1,,6.1,,1.6,,16.5,,54.5,,21.3,,96
2008,Females,From 25 to 34 years,Bulgaria,"Pre-primary, primary and lower secondary education (levels 0-2)",,,2.6,,,,2.8,,79.0,,15.6,,97
2008,Females,From 25 to 34 years,Bulgaria,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,,,0.7,,3.6,,80.4,,15.3,,98
2008,Females,From 25 to 34 years,Bulgaria,First and second stage of tertiary education (levels 5 and 6),,,,,,,6.7,,73.3,,20.1,,99
2008,Females,From 25 to 34 years,Bulgaria,All ISCED 1997 levels,,,0.6,,0.3,,4.4,,78.0,,16.8,,100
2008,Females,From 25 to 34 years,Cyprus,"Pre-primary, primary and lower secondary education (levels 0-2)",,,,,,,5.0,,87.6,,7.5,,101
2008,Females,From 25 to 34 years,Cyprus,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,0.8,,,,3.3,,79.9,,16.0,,102
2008,Females,From 25 to 34 years,Cyprus,First and second stage of tertiary education (levels 5 and 6),,,0.4,,0.5,,3.5,,65.8,,29.8,,103
2008,Females,From 25 to 34 years,Cyprus,All ISCED 1997 levels,,,0.5,,0.2,,3.6,,74.0,,21.6,,104
2008,Females,From 25 to 34 years,Czech Republic,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,10.0,,0.9,,12.8,,66.0,,10.3,,105
2008,Females,From 25 to 34 years,Czech Republic,First and second stage of tertiary education (levels 5 and 6),,,8.1,Low reliability,,,29.2,Low reliability,44.3,Low reliability,18.3,Low reliability,106
2008,Females,From 25 to 34 years,Czech Republic,All ISCED 1997 levels,,,9.6,,0.6,,17.1,,61.0,,11.7,,107
2008,Females,From 25 to 34 years,Greece,"Pre-primary, primary and lower secondary education (levels 0-2)",,,,,,,13.8,,63.5,,22.6,,108
2008,Females,From 25 to 34 years,Greece,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,,,0.2,,6.7,,66.2,,26.9,,109
2008,Females,From 25 to 34 years,Greece,First and second stage of tertiary education (levels 5 and 6),0.3,,0.3,,0.3,,11.1,,50.1,,37.9,,110
2008,Females,From 25 to 34 years,Greece,All ISCED 1997 levels,0.1,,0.1,,0.2,,9.3,,60.4,,29.9,,111
2008,Females,From 25 to 34 years,Spain,"Pre-primary, primary and lower secondary education (levels 0-2)",,,1.0,,0.4,,2.9,,82.4,,13.3,,112
2008,Females,From 25 to 34 years,Spain,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,2.5,,0.9,,3.3,,75.4,,17.9,,113
2008,Females,From 25 to 34 years,Spain,First and second stage of tertiary education (levels 5 and 6),,,2.2,,2.4,,8.4,,58.2,,28.8,,114
2008,Females,From 25 to 34 years,Spain,All ISCED 1997 levels,,,1.9,,1.4,,5.3,,70.3,,21.1,,115
2008,Females,From 25 to 34 years,Hungary,"Pre-primary, primary and lower secondary education (levels 0-2)",,,,,,,1.9,Low reliability,88.7,Low reliability,9.4,Low reliability,116
2008,Females,From 25 to 34 years,Hungary,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,1.7,,0.6,,5.1,,81.8,,10.9,,117
2008,Females,From 25 to 34 years,Hungary,First and second stage of tertiary education (levels 5 and 6),,,1.9,,0.5,,5.4,,72.8,,19.4,,118
2008,Females,From 25 to 34 years,Hungary,All ISCED 1997 levels,,,1.6,,0.5,,4.9,,79.3,,13.7,,119
2008,Females,From 25 to 34 years,Latvia,"Pre-primary, primary and lower secondary education (levels 0-2)",1.7,,5.2,,,,5.5,,76.9,,10.7,,120
2008,Females,From 25 to 34 years,Latvia,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,5.6,,2.0,,8.6,,68.5,,15.2,,121
2008,Females,From 25 to 34 years,Latvia,First and second stage of tertiary education (levels 5 and 6),,,4.4,,2.9,,8.9,,65.0,,18.8,,122
2008,Females,From 25 to 34 years,Latvia,All ISCED 1997 levels,0.3,,5.1,,2.0,,8.2,,68.5,,15.9,,123
2008,Females,From 25 to 34 years,Malta,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,4.9,,4.4,,8.3,,69.6,,12.8,,124
2008,Females,From 25 to 34 years,Malta,First and second stage of tertiary education (levels 5 and 6),,,6.2,,1.2,,16.1,,56.8,,19.8,,125
2008,Females,From 25 to 34 years,Malta,All ISCED 1997 levels,,,5.4,,4.0,,10.1,,66.3,,14.1,,126
2008,Females,From 25 to 34 years,Romania,"Pre-primary, primary and lower secondary education (levels 0-2)",0.5,,2.1,,1.1,,2.2,,79.4,,14.7,,127
2008,Females,From 25 to 34 years,Romania,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,0.6,,1.0,,3.8,,82.2,,12.5,,128
2008,Females,From 25 to 34 years,Romania,First and second stage of tertiary education (levels 5 and 6),,,0.3,,,,3.3,,81.9,,14.5,,129
2008,Females,From 25 to 34 years,Romania,All ISCED 1997 levels,0.1,,0.8,,0.8,,3.4,,81.6,,13.3,,130
2008,Females,From 25 to 34 years,Slovenia,"Pre-primary, primary and lower secondary education (levels 0-2)",,,,,,,2.8,Low reliability,94.3,Low reliability,2.9,Low reliability,131
2008,Females,From 25 to 34 years,Slovenia,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,0.9,,,,6.9,,79.7,,12.4,,132
2008,Females,From 25 to 34 years,Slovenia,First and second stage of tertiary education (levels 5 and 6),,,3.6,Low reliability,,,25.2,Low reliability,44.1,Low reliability,27.1,Low reliability,133
2008,Females,From 25 to 34 years,Slovenia,All ISCED 1997 levels,,,1.3,,,,9.7,,75.9,,13.1,,134
2008,Females,From 25 to 34 years,Slovakia,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,2.4,,,,9.0,,72.2,,16.5,,135
2008,Females,From 25 to 34 years,Slovakia,First and second stage of tertiary education (levels 5 and 6),,,1.3,,1.2,,11.0,,65.6,,20.9,,136
2008,Females,From 25 to 34 years,Slovakia,All ISCED 1997 levels,,,2.2,,0.4,,9.4,,70.4,,17.6,,137
2008,Females,From 35 to 44 years,Belgium,"Pre-primary, primary and lower secondary education (levels 0-2)",0.2,,7.9,,3.6,,7.2,,66.6,,14.5,,138
2008,Females,From 35 to 44 years,Belgium,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,6.3,,3.5,,16.6,,55.8,,17.9,,139
2008,Females,From 35 to 44 years,Belgium,First and second stage of tertiary education (levels 5 and 6),0.2,,6.4,,2.3,,11.8,,40.8,,38.7,,140
2008,Females,From 35 to 44 years,Belgium,All ISCED 1997 levels,0.1,,6.6,,2.9,,12.7,,49.8,,28.0,,141
2008,Females,From 35 to 44 years,Bulgaria,"Pre-primary, primary and lower secondary education (levels 0-2)",,,1.4,,2.3,,5.8,,89.1,,1.4,,142
2008,Females,From 35 to 44 years,Bulgaria,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,1.3,,0.4,,4.2,,71.6,,22.5,,143
2008,Females,From 35 to 44 years,Bulgaria,First and second stage of tertiary education (levels 5 and 6),,,1.0,,,,3.0,,69.3,,26.7,,144
2008,Females,From 35 to 44 years,Bulgaria,All ISCED 1997 levels,,,1.2,,0.5,,4.1,,73.1,,21.1,,145
2008,Females,From 35 to 44 years,Cyprus,"Pre-primary, primary and lower secondary education (levels 0-2)",,,,,,,0.8,,81.8,,17.4,,146
2008,Females,From 35 to 44 years,Cyprus,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,0.6,,0.3,,1.3,,80.8,,17.0,,147
2008,Females,From 35 to 44 years,Cyprus,First and second stage of tertiary education (levels 5 and 6),,,,,,,3.2,,77.7,,19.1,,148
2008,Females,From 35 to 44 years,Cyprus,All ISCED 1997 levels,,,0.3,,0.1,,1.8,,80.1,,17.7,,149
2008,Females,From 35 to 44 years,Czech Republic,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,8.7,,0.7,,14.9,,59.0,,16.8,,150
2008,Females,From 35 to 44 years,Czech Republic,All ISCED 1997 levels,,,9.4,,0.6,,14.0,,57.0,,19.0,,151
2008,Females,From 35 to 44 years,Greece,"Pre-primary, primary and lower secondary education (levels 0-2)",,,0.4,,,,4.2,,67.2,,28.2,,152
2008,Females,From 35 to 44 years,Greece,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,0.8,,0.3,,6.4,,61.2,,31.3,,153
2008,Females,From 35 to 44 years,Greece,First and second stage of tertiary education (levels 5 and 6),,,,,0.7,,5.9,,54.6,,38.8,,154
2008,Females,From 35 to 44 years,Greece,All ISCED 1997 levels,,,0.5,,0.3,,5.8,,60.6,,32.8,,155
2008,Females,From 35 to 44 years,Spain,"Pre-primary, primary and lower secondary education (levels 0-2)",0.0,,,,0.6,,2.6,,77.0,,19.8,,156
2008,Females,From 35 to 44 years,Spain,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,0.5,,0.2,,2.7,,69.8,,26.9,,157
2008,Females,From 35 to 44 years,Spain,First and second stage of tertiary education (levels 5 and 6),0.1,,1.3,,0.5,,4.5,,59.3,,34.4,,158
2008,Females,From 35 to 44 years,Spain,All ISCED 1997 levels,0.0,,0.6,,0.4,,3.3,,68.6,,27.0,,159
2008,Females,From 35 to 44 years,Hungary,"Pre-primary, primary and lower secondary education (levels 0-2)",,,,,,,1.9,,88.8,,9.3,,160
2008,Females,From 35 to 44 years,Hungary,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,1.1,,0.9,,1.5,,82.0,,14.5,,161
2008,Females,From 35 to 44 years,Hungary,First and second stage of tertiary education (levels 5 and 6),,,,,,,6.0,,74.7,,19.4,,162
2008,Females,From 35 to 44 years,Hungary,All ISCED 1997 levels,,,0.6,,0.5,,3.0,,80.5,,15.4,,163
2008,Females,From 35 to 44 years,Latvia,"Pre-primary, primary and lower secondary education (levels 0-2)",,,4.5,Low reliability,5.6,Low reliability,7.1,Low reliability,71.1,Low reliability,11.8,Low reliability,164
2008,Females,From 35 to 44 years,Latvia,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,3.6,,1.8,,12.7,,65.8,,16.2,,165
2008,Females,From 35 to 44 years,Latvia,First and second stage of tertiary education (levels 5 and 6),,,0.8,,0.5,,9.9,,68.9,,19.9,,166
2008,Females,From 35 to 44 years,Latvia,All ISCED 1997 levels,,,2.6,,1.6,,11.1,,67.5,,17.3,,167
2008,Females,From 35 to 44 years,Malta,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,1.9,,3.3,,9.3,,67.9,,17.7,,168
2008,Females,From 35 to 44 years,Malta,First and second stage of tertiary education (levels 5 and 6),,,2.6,Low reliability,,,7.9,Low reliability,65.8,Low reliability,23.7,Low reliability,169
2008,Females,From 35 to 44 years,Malta,All ISCED 1997 levels,,,1.9,,2.6,,8.9,,67.7,,19.0,,170
2008,Females,From 35 to 44 years,Romania,"Pre-primary, primary and lower secondary education (levels 0-2)",,,1.1,,1.2,,4.6,,78.3,,14.8,,171
2008,Females,From 35 to 44 years,Romania,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,0.8,,0.8,,3.9,,80.7,,13.8,,172
2008,Females,From 35 to 44 years,Romania,First and second stage of tertiary education (levels 5 and 6),,,2.0,,,,5.2,,74.1,,18.7,,173
2008,Females,From 35 to 44 years,Romania,All ISCED 1997 levels,,,1.0,,0.8,,4.1,,79.6,,14.5,,174
2008,Females,From 35 to 44 years,Slovenia,"Pre-primary, primary and lower secondary education (levels 0-2)",,,2.3,,1.8,,3.5,,79.4,,13.0,,175
2008,Females,From 35 to 44 years,Slovenia,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,1.7,,,,9.5,,72.3,,16.5,,176
2008,Females,From 35 to 44 years,Slovenia,First and second stage of tertiary education (levels 5 and 6),,,,,,,3.6,Low reliability,62.9,Low reliability,33.5,Low reliability,177
2008,Females,From 35 to 44 years,Slovenia,All ISCED 1997 levels,,,1.6,,0.6,,6.4,,73.1,,18.3,,178
2008,Females,From 35 to 44 years,Slovakia,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,0.5,,,,8.6,,71.0,,19.9,,179
2008,Females,From 35 to 44 years,Slovakia,First and second stage of tertiary education (levels 5 and 6),,,,,,,10.5,,64.0,,25.4,,180
2008,Females,From 35 to 44 years,Slovakia,All ISCED 1997 levels,,,0.4,,0.2,,9.3,,69.1,,21.0,,181
2008,Females,From 45 to 54 years,Belgium,"Pre-primary, primary and lower secondary education (levels 0-2)",3.0,,8.4,,3.1,,13.4,,52.4,,19.7,,182
2008,Females,From 45 to 54 years,Belgium,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,7.1,,4.1,,11.0,,40.3,,37.5,,183
2008,Females,From 45 to 54 years,Belgium,First and second stage of tertiary education (levels 5 and 6),1.3,,5.6,,4.0,,15.8,,30.3,,43.0,,184
2008,Females,From 45 to 54 years,Belgium,All ISCED 1997 levels,1.4,,7.0,,3.7,,13.4,,40.9,,33.5,,185
2008,Females,From 45 to 54 years,Bulgaria,"Pre-primary, primary and lower secondary education (levels 0-2)",,,1.1,,,,3.2,,81.3,,14.3,,186
2008,Females,From 45 to 54 years,Bulgaria,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,0.4,,0.4,,6.1,,72.0,,21.1,,187
2008,Females,From 45 to 54 years,Bulgaria,First and second stage of tertiary education (levels 5 and 6),,,2.9,,,,10.8,,61.5,,24.8,,188
2008,Females,From 45 to 54 years,Bulgaria,All ISCED 1997 levels,,,1.1,,0.2,,6.7,,71.3,,20.7,,189
2008,Females,From 45 to 54 years,Cyprus,"Pre-primary, primary and lower secondary education (levels 0-2)",,,,,,,,,85.1,,14.9,,190
2008,Females,From 45 to 54 years,Cyprus,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,,,,,0.3,,78.8,,21.0,,191
2008,Females,From 45 to 54 years,Cyprus,First and second stage of tertiary education (levels 5 and 6),,,,,,,0.7,,75.1,,24.2,,192
2008,Females,From 45 to 54 years,Cyprus,All ISCED 1997 levels,,,,,,,0.3,,80.2,,19.5,,193
